skill,count,pct
R,1080,0.38
Python,1366,0.48
Hadoop,248,0.09
SQL,1515,0.53
Tableau,515,0.18
NoSQL,264,0.09
Power BI,221,0.08
AWS,321,0.11
SAS,273,0.1
Hive,198,0.07
Spark,475,0.17
Java,502,0.18
JavaScript,199,0.07
